Date;T;DewT;rH;Phpa;vms;vmax;Tmax;Tmin;R
28/01/2008;23.4;14.4;57;846.7;2.3;4.1;29.8;18.8;
29/01/2008;24.6;13.1;48.6;847.5;1.9;3.6;30.1;18.4;
30/01/2008;23.5;11.7;47.4;849.8;2.5;5.7;30.1;17.5;0.3
31/01/2008;22.5;8.7;41.4;850.6;2.6;5.1;29.2;16;0
01/02/2008;20.9;5.9;37.6;850.2;3.2;5.7;29;13.6;
02/02/2008;19.9;3.4;33.5;849.6;2.9;6.7;27.1;12.2;
03/02/2008;20.4;3.3;32.3;850;2.1;3.6;27.6;12.2;
04/02/2008;20;5.9;39.7;850.1;3.2;6.7;27.7;12.5;
05/02/2008;18.7;8.1;50.2;850.8;3.3;5.7;27.7;14.2;
06/02/2008;17.8;11;64.3;850.8;4;6.2;25.8;14.9;1.5
07/02/2008;17.7;12;69.4;849.1;3.2;6.2;25.8;14.4;2.3
08/02/2008;16.4;12.6;78.3;847.7;3;4.6;23.8;13.9;4.6
09/02/2008;;;;;;;;;
10/02/2008;;;;;;;;;
11/02/2008;;;;;;;;;
12/02/2008;;;;;;;;;
13/02/2008;;;;;;;;;
14/02/2008;;;;;;;;;
15/02/2008;;;;;;;;;
16/02/2008;;;;;;;;;
17/02/2008;;;;;;;;;
18/02/2008;;;;;;;;;
19/02/2008;;;;;;;;;
20/02/2008;;;;;;;;;
21/02/2008;;;;;;;;;
22/02/2008;;;;;;;;;
23/02/2008;;;;;;;;;
24/02/2008;;;;;;;;;
25/02/2008;;;;;;;;;
26/02/2008;;;;;;;;;
27/02/2008;;;;;;;;;
28/02/2008;;;;;;;;;
29/02/2008;;;;;;;;;
01/03/2008;;;;;;;;;
02/03/2008;;;;;;;;;
03/03/2008;;;;;;;;;
04/03/2008;;;;;;;;;
05/03/2008;;;;;;;;;
06/03/2008;;;;;;;;;
07/03/2008;;;;;;;;;
08/03/2008;;;;;;;;;
09/03/2008;;;;;;;;;
10/03/2008;;;;;;;;;
11/03/2008;;;;;;;;;
12/03/2008;;;;;;;;;
13/03/2008;;;;;;;;;
14/03/2008;;;;;;;;;
15/03/2008;;;;;;;;;
16/03/2008;;;;;;;;;
17/03/2008;;;;;;;;;
18/03/2008;;;;;;;;;
19/03/2008;;;;;;;;;
20/03/2008;;;;;;;;;
21/03/2008;;;;;;;;;
22/03/2008;;;;;;;;;
23/03/2008;;;;;;;;;
24/03/2008;;;;;;;;;
25/03/2008;;;;;;;;;
26/03/2008;;;;;;;;;
27/03/2008;;;;;;;;;
28/03/2008;;;;;;;;;
29/03/2008;;;;;;;;;
30/03/2008;;;;;;;;;
31/03/2008;;;;;;;;;
01/04/2008;;;;;;;;;
02/04/2008;;;;;;;;;
03/04/2008;;;;;;;;;
04/04/2008;;;;;;;;;
05/04/2008;;;;;;;;;
06/04/2008;;;;;;;;;
07/04/2008;;;;;;;;;
08/04/2008;;;;;;;;;
09/04/2008;;;;;;;;;
10/04/2008;;;;;;;;;
11/04/2008;;;;;;;;;
12/04/2008;;;;;;;;;
13/04/2008;;;;;;;;;
14/04/2008;;;;;;;;;
15/04/2008;;;;;;;;;
16/04/2008;;;;;;;;;
17/04/2008;;;;;;;;;
18/04/2008;;;;;;;;;
19/04/2008;;;;;;;;;
20/04/2008;;;;;;;;;
21/04/2008;;;;;;;;;
22/04/2008;;;;;;;;;
23/04/2008;;;;;;;;;
24/04/2008;;;;;;;;;
25/04/2008;;;;;;;;;
26/04/2008;;;;;;;;;
27/04/2008;;;;;;;;;
28/04/2008;;;;;;;;;
29/04/2008;;;;;;;;;
30/04/2008;;;;;;;;;
01/05/2008;;;;;;;;;
02/05/2008;;;;;;;;;
03/05/2008;;;;;;;;;
04/05/2008;;;;;;;;;
05/05/2008;;;;;;;;;
06/05/2008;;;;;;;;;
07/05/2008;;;;;;;;;
08/05/2008;;;;;;;;;
09/05/2008;;;;;;;;;
10/05/2008;;;;;;;;;
11/05/2008;;;;;;;;;
12/05/2008;;;;;;;;;
13/05/2008;;;;;;;;;
14/05/2008;;;;;;;;;
15/05/2008;;;;;;;;;
16/05/2008;;;;;;;;;
17/05/2008;;;;;;;;;
18/05/2008;;;;;;;;;
19/05/2008;;;;;;;;;
20/05/2008;;;;;;;;;
21/05/2008;;;;;;;;;
22/05/2008;;;;;;;;;
23/05/2008;;;;;;;;;
24/05/2008;;;;;;;;;
25/05/2008;;;;;;;;;
26/05/2008;;;;;;;;;
27/05/2008;;;;;;;;;
28/05/2008;;;;;;;;;
29/05/2008;;;;;;;;;
30/05/2008;;;;;;;;;
31/05/2008;;;;;;;;;
01/06/2008;;;;;;;;;
02/06/2008;;;;;;;;;
03/06/2008;;;;;;;;;
04/06/2008;;;;;;;;;
05/06/2008;;;;;;;;;
06/06/2008;;;;;;;;;
07/06/2008;;;;;;;;;
08/06/2008;;;;;;;;;
09/06/2008;;;;;;;;;
10/06/2008;;;;;;;;;
11/06/2008;;;;;;;;;
12/06/2008;;;;;;;;;
13/06/2008;;;;;;;;;
14/06/2008;;;;;;;;;
15/06/2008;;;;;;;;;
16/06/2008;;;;;;;;;
17/06/2008;;;;;;;;;
18/06/2008;;;;;;;;;
19/06/2008;;;;;;;;;
20/06/2008;;;;;;;;;
21/06/2008;;;;;;;;;
22/06/2008;;;;;;;;;
23/06/2008;;;;;;;;;
24/06/2008;;;;;;;;;
25/06/2008;13.3;13.3;100;857;2.8;6.2;25.5;7.2;
26/06/2008;15.1;15;99.6;857.3;3.1;4.6;25;5.5;
27/06/2008;;;;;;;;;
28/06/2008;;;;;;;;;
29/06/2008;15.7;15.6;99.6;855.6;3;4.1;23.9;6.3;
30/06/2008;;;;;;;;;
01/07/2008;;;;;;;;;
02/07/2008;7.8;7.8;100;851.3;0.3;1;12.6;2.9;
03/07/2008;;;;;;;;;
04/07/2008;;;;;;;;;
05/07/2008;;;;;;;;;
06/07/2008;;;;;;;;;
07/07/2008;;;;;;;;;
08/07/2008;;;;;;;;;
09/07/2008;;;;;;;;;
10/07/2008;;;;;;;;;
11/07/2008;;;;;;;;;
12/07/2008;;;;;;;;;
13/07/2008;;;;;;;;;
14/07/2008;;;;;;;;;
15/07/2008;;;;;;;;;
16/07/2008;;;;;;;;;
17/07/2008;;;;;;;;;
18/07/2008;;;;;;;;;
19/07/2008;;;;;;;;;
20/07/2008;;;;;;;;;
21/07/2008;;;;;;;;;
22/07/2008;;;;;;;;;
23/07/2008;;;;;;;;;
24/07/2008;;;;;;;;;
25/07/2008;;;;;;;;;
26/07/2008;;;;;;;;;
27/07/2008;;;;;;;;;
28/07/2008;;;;;;;;;
29/07/2008;;;;;;;;;
30/07/2008;;;;;;;;;
31/07/2008;;;;;;;;;
01/08/2008;;;;;;;;;
02/08/2008;;;;;;;;;
03/08/2008;;;;;;;;;
04/08/2008;;;;;;;;;
05/08/2008;;;;;;;;;
06/08/2008;;;;;;;;;
07/08/2008;;;;;;;;;
08/08/2008;;;;;;;;;
09/08/2008;;;;;;;;;
10/08/2008;;;;;;;;;
11/08/2008;;;;;;;;;
12/08/2008;;;;;;;;;
13/08/2008;;;;;;;;;
14/08/2008;;;;;;;;;
15/08/2008;;;;;;;;;
16/08/2008;;;;;;;;;
17/08/2008;;;;;;;;;
18/08/2008;;;;;;;;;
19/08/2008;;;;;;;;;
20/08/2008;;;;;;;;;
21/08/2008;;;;;;;;;
22/08/2008;;;;;;;;;
23/08/2008;;;;;;;;;
24/08/2008;;;;;;;;;
25/08/2008;;;;;;;;;
26/08/2008;;;;;;;;;
27/08/2008;;;;;;;;;
28/08/2008;;;;;;;;;
29/08/2008;;;;;;;;;
30/08/2008;;;;;;;;;
31/08/2008;;;;;;;;;
01/09/2008;;;;;;;;;
02/09/2008;;;;;;;;;
03/09/2008;;;;;;;;;
04/09/2008;;;;;;;;;
05/09/2008;;;;;;;;;
06/09/2008;;;;;;;;;
07/09/2008;;;;;;;;;
08/09/2008;;;;;;;;;
09/09/2008;;;;;;;;;
10/09/2008;;;;;;;;;
11/09/2008;;;;;;;;;
12/09/2008;;;;;;;;;
13/09/2008;;;;;;;;;
14/09/2008;;;;;;;;;
15/09/2008;;;;;;;;;
16/09/2008;;;;;;;;;
17/09/2008;;;;;;;;;
18/09/2008;;;;;;;;;
19/09/2008;;;;;;;;;
20/09/2008;;;;;;;;;
21/09/2008;;;;;;;;;
22/09/2008;;;;;;;;;
23/09/2008;;;;;;;;;
24/09/2008;;;;;;;;;
25/09/2008;;;;;;;;;
26/09/2008;;;;;;;;;
27/09/2008;;;;;;;;;
28/09/2008;;;;;;;;;
29/09/2008;;;;;;;;;
30/09/2008;;;;;;;;;
01/10/2008;;;;;;;;;
02/10/2008;;;;;;;;;
03/10/2008;;;;;;;;;
04/10/2008;;;;;;;;;
05/10/2008;;;;;;;;;
06/10/2008;26.8;26.7;99.6;851.9;2.9;6.7;35.9;17.3;
07/10/2008;25.9;25.9;100;853;2.6;4.6;35.9;18;
08/10/2008;25.9;25.9;99.7;848.7;1.8;3.1;34.6;14.9;
09/10/2008;25.1;25;99.6;847.9;1.4;4.1;34.9;12.9;
10/10/2008;25.9;25.9;100;851.2;2.3;4.1;34.9;14.8;
11/10/2008;26.9;26.9;100;852.2;2;4.6;35.9;15;
12/10/2008;27.6;27.5;99.6;851.3;1.5;2.6;36.5;14.5;
13/10/2008;28.1;28.1;99.7;849.7;2;3.6;36.8;15.7;
14/10/2008;27.8;27.8;99.7;849.9;1.7;3.6;36.8;14.6;
15/10/2008;;;;;;;;;
16/10/2008;29.2;29.1;99.7;850.6;2.1;4.1;36.9;23.3;
17/10/2008;27.3;27.3;99.7;848.9;2.3;3.6;36.8;18;
18/10/2008;26;26;100;848.1;1.6;3.1;37.1;13.1;
19/10/2008;26.6;26.5;99.6;849.8;2.3;4.6;37.1;13.3;
20/10/2008;24.7;24.7;100;850;1.9;4.6;34.6;15.5;
21/10/2008;24.7;24.7;100;850.6;1.5;4.6;34.7;11.2;
22/10/2008;25.8;25.7;99.6;850.3;2.3;4.6;34.7;14.2;
23/10/2008;26.5;26.5;100;851.1;3.1;6.2;34.6;23.3;0.3
24/10/2008;26.7;26.7;99.7;851.7;4.1;6.2;33.7;21.8;
25/10/2008;26;25.9;99.6;852.4;1.8;3.6;33.7;19.8;0.3
26/10/2008;24;23.9;99.6;852.2;1.5;3.1;32.5;17.9;0.5
27/10/2008;25.8;25.8;99.7;851.9;1.7;3.1;34;20.3;
28/10/2008;26.2;26.1;99.6;852.4;3.9;6.2;34.4;20.9;0.3
29/10/2008;26;25.9;99.6;852.5;2;3.1;34.4;20.2;
30/10/2008;27.2;27.2;100;851.6;2.1;4.6;34.4;21.5;
31/10/2008;28.8;28.7;99.7;849.8;2;3.6;37.3;19.2;
01/11/2008;28.8;28.8;100;849.1;2.6;4.1;37.9;18.8;
02/11/2008;26.4;26.4;100;848.3;2.1;4.1;37.9;14.6;
03/11/2008;26.7;26.6;99.6;847.3;2.1;3.6;36.6;13.8;
04/11/2008;27.7;26.2;91.6;848;2;4.6;37.5;15.8;
05/11/2008;25.8;25.7;99.6;849.6;1.6;4.1;37.5;14.2;3.8
06/11/2008;24.2;24.2;100;849.3;2.1;6.2;37.2;17.6;8.9
07/11/2008;23.3;23.3;100;849;1.3;3.1;34.4;16.4;
08/11/2008;22.4;22.4;100;849.2;2.3;4.1;32.1;18.4;3.3
09/11/2008;20.3;20.3;100;850.5;2.1;3.6;32.1;17.5;4.3
10/11/2008;22.3;22.3;99.7;849;1.4;4.6;30.3;15.8;0
11/11/2008;21.8;21.8;100;848.6;1.3;3.1;30.3;18.7;3.3
12/11/2008;22.2;22.2;99.7;848.8;2.5;4.1;30.8;14.2;
13/11/2008;22.4;22.4;99.7;848.8;1.8;3.1;31.2;11.5;0.5
14/11/2008;24.5;24.4;99.6;848.5;1.8;3.6;34;11.5;
15/11/2008;26.2;26.1;99.4;849.1;1;2.1;35.5;13.7;
16/11/2008;28.2;28.1;99.7;849;1.8;4.6;37.2;15.9;
17/11/2008;21.7;21.7;99.7;847.1;1.7;4.1;37.2;19.3;12.5
18/11/2008;27.7;27.6;99.6;845.1;1.7;3.1;35;16.9;0.8
19/11/2008;23.4;23.4;99.7;848;1.9;5.1;35;13.9;
20/11/2008;23.2;23.1;99.6;851.3;1.9;3.6;34.1;18.8;0.5
21/11/2008;25;24.9;99.6;851.4;1.5;3.1;33.2;16.7;
22/11/2008;25.7;25.7;99.7;849.4;2.2;4.1;33.2;20;1.8
23/11/2008;24.4;24.4;100;848.8;1.6;3.1;32.9;18.8;0.5
24/11/2008;23.1;23.1;99.7;850.3;1.8;3.6;32.9;17.5;1.3
25/11/2008;21.9;21.9;99.7;851.5;3;5.7;32.1;17.8;1
26/11/2008;22.6;22.5;99.6;850.8;2.5;4.6;32.1;18.2;7.9
27/11/2008;21.8;21.7;99.6;849.2;2.1;4.6;32.1;18.1;2.3
28/11/2008;23.9;23.9;100;848.1;1.5;3.1;29.4;17.9;2.5
29/11/2008;24.8;24.7;99.6;849.7;1.7;3.1;32.3;18.3;0.3
30/11/2008;26.7;26.7;100;850.3;2.9;5.7;32.9;19;0
01/12/2008;25.8;25.8;100;852.2;3.3;5.7;32.9;17.5;0.3
02/12/2008;23.2;23.1;99.3;852.6;1.4;4.1;32.3;18.5;5.1
03/12/2008;24.9;24.9;100;850.9;1.1;2.1;32.9;17.6;0
04/12/2008;25.2;17.5;62.3;849.5;2.9;6.7;32.9;19.5;1
05/12/2008;24.8;12.4;46;851;2.2;4.6;34.1;19.4;
06/12/2008;21.8;15.7;68.2;853.4;1.5;2.6;34.1;16.8;5.8
07/12/2008;22.5;16.8;70.1;852.5;1.7;4.1;29.4;19.1;2.3
08/12/2008;;;;;;;;;
09/12/2008;;;;;;;;;
10/12/2008;;;;;;;;;
11/12/2008;;;;;;;;;
12/12/2008;;;;;;;;;
13/12/2008;22.3;14.9;63.2;848.8;2.8;3.6;26.4;16.6;0.3
14/12/2008;;;;;;;;;
15/12/2008;;;;;;;;;
16/12/2008;;;;;;;;;
17/12/2008;;;;;;;;;
18/12/2008;;;;;;;;;
19/12/2008;;;;;;;;;
20/12/2008;;;;;;;;;
21/12/2008;;;;;;;;;
22/12/2008;;;;;;;;;
23/12/2008;;;;;;;;;
24/12/2008;;;;;;;;;
25/12/2008;;;;;;;;;
26/12/2008;;;;;;;;;
27/12/2008;;;;;;;;;
28/12/2008;;;;;;;;;
29/12/2008;;;;;;;;;
30/12/2008;;;;;;;;;
31/12/2008;;;;;;;;;
01/01/2009;;;;;;;;;
02/01/2009;;;;;;;;;
03/01/2009;;;;;;;;;
04/01/2009;;;;;;;;;
05/01/2009;;;;;;;;;
06/01/2009;;;;;;;;;
07/01/2009;;;;;;;;;
08/01/2009;;;;;;;;;
09/01/2009;;;;;;;;;
10/01/2009;;;;;;;;;
11/01/2009;;;;;;;;;
12/01/2009;;;;;;;;;
13/01/2009;;;;;;;;;
14/01/2009;;;;;;;;;
15/01/2009;;;;;;;;;
16/01/2009;;;;;;;;;
17/01/2009;;;;;;;;;
18/01/2009;;;;;;;;;
19/01/2009;;;;;;;;;
20/01/2009;;;;;;;;;
21/01/2009;;;;;;;;;
22/01/2009;;;;;;;;;
23/01/2009;;;;;;;;;
24/01/2009;;;;;;;;;
25/01/2009;;;;;;;;;
26/01/2009;;;;;;;;;
27/01/2009;;;;;;;;;
28/01/2009;;;;;;;;;
29/01/2009;;;;;;;;;
30/01/2009;;;;;;;;;
31/01/2009;;;;;;;;;
01/02/2009;;;;;;;;;
02/02/2009;;;;;;;;;
03/02/2009;;;;;;;;;
04/02/2009;;;;;;;;;
05/02/2009;;;;;;;;;
06/02/2009;;;;;;;;;
07/02/2009;;;;;;;;;
08/02/2009;;;;;;;;;
09/02/2009;;;;;;;;;
10/02/2009;;;;;;;;;
11/02/2009;;;;;;;;;
12/02/2009;;;;;;;;;
13/02/2009;;;;;;;;;
14/02/2009;;;;;;;;;
15/02/2009;;;;;;;;;
16/02/2009;;;;;;;;;
17/02/2009;;;;;;;;;
18/02/2009;;;;;;;;;
19/02/2009;;;;;;;;;
20/02/2009;;;;;;;;;
21/02/2009;;;;;;;;;
22/02/2009;;;;;;;;;
23/02/2009;;;;;;;;;
24/02/2009;;;;;;;;;
25/02/2009;;;;;;;;;
