Date;P
01/11/2010;0
02/11/2010;6.5
03/11/2010;11.7
04/11/2010;31.7
05/11/2010;7.3
06/11/2010;0.2
07/11/2010;0
08/11/2010;0.8
09/11/2010;0.6
10/11/2010;0.3
11/11/2010;5.7
12/11/2010;24.1
13/11/2010;0.8
14/11/2010;18.1
15/11/2010;0
16/11/2010;1
17/11/2010;8.5
18/11/2010;12.6
19/11/2010;12.8
20/11/2010;0.1
21/11/2010;0
22/11/2010;0.9
23/11/2010;10.6
24/11/2010;0.2
25/11/2010;3.8
26/11/2010;0.3
27/11/2010;0
28/11/2010;1.8
29/11/2010;3.8
30/11/2010;2
01/12/2010;0.1
02/12/2010;17.3
03/12/2010;0
04/12/2010;1.8
05/12/2010;7.9
06/12/2010;0.2
07/12/2010;0
08/12/2010;0.1
09/12/2010;0
10/12/2010;6.7
11/12/2010;0
12/12/2010;0.1
13/12/2010;3.2
14/12/2010;0
15/12/2010;0
16/12/2010;4.4
17/12/2010;0
18/12/2010;0
19/12/2010;0
20/12/2010;0
21/12/2010;0
22/12/2010;1.5
23/12/2010;0.6
24/12/2010;0
25/12/2010;0
26/12/2010;2.3
27/12/2010;0
28/12/2010;0
29/12/2010;0
30/12/2010;0.5
31/12/2010;0.4
01/01/2011;0
02/01/2011;0
03/01/2011;0
04/01/2011;0
05/01/2011;3.5
06/01/2011;3.9
07/01/2011;1
08/01/2011;0.5
09/01/2011;0
10/01/2011;0
11/01/2011;1
12/01/2011;0
13/01/2011;4.4
14/01/2011;10
15/01/2011;4.3
16/01/2011;0.2
17/01/2011;3.6
18/01/2011;0
19/01/2011;0
20/01/2011;0
21/01/2011;3.4
22/01/2011;0
23/01/2011;0
24/01/2011;2.7
25/01/2011;0.3
26/01/2011;0.7
27/01/2011;0
28/01/2011;0
29/01/2011;0
30/01/2011;0
31/01/2011;0
01/02/2011;0
02/02/2011;2
03/02/2011;7.2
04/02/2011;30.4
05/02/2011;4.2
06/02/2011;12.9
07/02/2011;1.2
08/02/2011;0
09/02/2011;0
10/02/2011;3.6
11/02/2011;0.5
12/02/2011;0.1
13/02/2011;0.8
14/02/2011;0
15/02/2011;5.4
16/02/2011;0.1
17/02/2011;0
18/02/2011;0
19/02/2011;0
20/02/2011;0
21/02/2011;0
22/02/2011;0
23/02/2011;0
24/02/2011;0
25/02/2011;0
26/02/2011;0
27/02/2011;0
28/02/2011;0
01/03/2011;0
02/03/2011;0
03/03/2011;0
04/03/2011;0
05/03/2011;0.1
06/03/2011;0
07/03/2011;0
08/03/2011;0
09/03/2011;1.2
10/03/2011;5.5
11/03/2011;0
12/03/2011;0.1
13/03/2011;1.8
14/03/2011;4.8
15/03/2011;0
16/03/2011;0
17/03/2011;0
18/03/2011;0
19/03/2011;0
20/03/2011;0
21/03/2011;0
22/03/2011;0
23/03/2011;0
24/03/2011;0
25/03/2011;0
26/03/2011;0
27/03/2011;0.1
28/03/2011;0.1
29/03/2011;0.1
30/03/2011;2.7
31/03/2011;3
01/04/2011;0
02/04/2011;0
