Date;Flowqm
28/01/1975;0
29/01/1975;0
30/01/1975;0
31/01/1975;0
01/02/1975;0
02/02/1975;0
03/02/1975;0
04/02/1975;0
05/02/1975;0
06/02/1975;0
07/02/1975;0
08/02/1975;0
09/02/1975;0
10/02/1975;0
11/02/1975;0
12/02/1975;0
13/02/1975;0
14/02/1975;0
15/02/1975;0
16/02/1975;0
17/02/1975;0
18/02/1975;0
19/02/1975;0
20/02/1975;0
21/02/1975;0
22/02/1975;0
23/02/1975;0
24/02/1975;0
25/02/1975;0
26/02/1975;0
27/02/1975;0
28/02/1975;0
01/03/1975;0
02/03/1975;0
03/03/1975;0
04/03/1975;0
05/03/1975;0
06/03/1975;0.5
07/03/1975;0.18
08/03/1975;0.08
09/03/1975;0
10/03/1975;0
11/03/1975;0.05
12/03/1975;0.02
13/03/1975;0.33
14/03/1975;0.22
15/03/1975;0
16/03/1975;0
17/03/1975;0
18/03/1975;0
19/03/1975;0
20/03/1975;0
21/03/1975;0
22/03/1975;0
23/03/1975;0
24/03/1975;0
25/03/1975;0
26/03/1975;0
27/03/1975;0
28/03/1975;0
29/03/1975;0
30/03/1975;0
31/03/1975;0
01/04/1975;0
02/04/1975;0
03/04/1975;0
04/04/1975;0
05/04/1975;0
06/04/1975;0
07/04/1975;0
08/04/1975;0
09/04/1975;0
10/04/1975;0
11/04/1975;0
12/04/1975;0
13/04/1975;0
14/04/1975;0
15/04/1975;0
16/04/1975;0
17/04/1975;0
18/04/1975;0
19/04/1975;0
20/04/1975;0
21/04/1975;0
22/04/1975;0
23/04/1975;0
24/04/1975;0
25/04/1975;0
26/04/1975;0
27/04/1975;0
28/04/1975;0
29/04/1975;0
30/04/1975;0
01/05/1975;0
02/05/1975;0
03/05/1975;0
04/05/1975;0
05/05/1975;0
06/05/1975;0
07/05/1975;0
08/05/1975;0
09/05/1975;0
10/05/1975;0
11/05/1975;0
12/05/1975;0
13/05/1975;0
14/05/1975;0
15/05/1975;0
16/05/1975;0
17/05/1975;0
18/05/1975;0
19/05/1975;0
20/05/1975;0
21/05/1975;0
22/05/1975;0
23/05/1975;0
24/05/1975;0
25/05/1975;0
26/05/1975;0
27/05/1975;0
28/05/1975;0
29/05/1975;0
30/05/1975;0
31/05/1975;0
01/06/1975;0
02/06/1975;0
03/06/1975;0
04/06/1975;0
05/06/1975;0
06/06/1975;0
07/06/1975;0
08/06/1975;0
09/06/1975;0
10/06/1975;0
11/06/1975;0
12/06/1975;0
13/06/1975;0
14/06/1975;0
15/06/1975;0
16/06/1975;0
17/06/1975;0
18/06/1975;0
19/06/1975;0
20/06/1975;0
21/06/1975;0
22/06/1975;0
23/06/1975;0
24/06/1975;0
25/06/1975;0
26/06/1975;0
27/06/1975;0
28/06/1975;0
29/06/1975;0
30/06/1975;0
01/07/1975;0
